   0.0000000e+00  -2.0154074e+00   2.6249522e-03
   4.4922963e-03  -2.0153769e+00   1.0746988e-02
   8.9845925e-03  -2.0153123e+00   1.7823084e-02
   1.3476889e-02  -2.0152180e+00   2.3989539e-02
   1.7969185e-02  -2.0150979e+00   2.9362953e-02
   2.8100498e-02  -2.0147488e+00   3.9093676e-02
   3.8231811e-02  -2.0143151e+00   4.6238495e-02
   4.8363124e-02  -2.0138191e+00   5.1479526e-02
   5.8494437e-02  -2.0132773e+00   5.5324569e-02
   6.8625750e-02  -2.0127018e+00   5.8151289e-02
   7.8757062e-02  -2.0121016e+00   6.0234687e-02
   9.4020404e-02  -2.0111650e+00   6.2399689e-02
   1.0928375e-01  -2.0102019e+00   6.3774479e-02
   1.2454709e-01  -2.0092217e+00   6.4646452e-02
   1.3981043e-01  -2.0082305e+00   6.5210017e-02
   1.5507377e-01  -2.0072321e+00   6.5588726e-02
   1.7033711e-01  -2.0062289e+00   6.5851645e-02
   1.9629850e-01  -2.0045158e+00   6.6141992e-02
   2.2225989e-01  -2.0027967e+00   6.6330460e-02
   2.4822129e-01  -2.0010731e+00   6.6458265e-02
   2.7418268e-01  -1.9993464e+00   6.6554628e-02
   3.0014407e-01  -1.9976172e+00   6.6651568e-02
   3.2610546e-01  -1.9958855e+00   6.6760836e-02
   3.7405653e-01  -1.9926798e+00   6.6952383e-02
   4.2200760e-01  -1.9894651e+00   6.7134697e-02
   4.6995868e-01  -1.9862416e+00   6.7313078e-02
   5.1790975e-01  -1.9830095e+00   6.7494226e-02
   5.6586082e-01  -1.9797686e+00   6.7679227e-02
   8.3171111e-01  -1.9616348e+00   6.8733910e-02
   1.0975614e+00  -1.9432126e+00   6.9845937e-02
   1.3634117e+00  -1.9244873e+00   7.1014574e-02
   1.6292620e+00  -1.9054426e+00   7.2248260e-02
   2.4527133e+00  -1.8441234e+00   7.6571862e-02
   3.2761647e+00  -1.7788205e+00   8.1847423e-02
   4.0996161e+00  -1.7085605e+00   8.8530970e-02
   4.7307210e+00  -1.6505698e+00   9.5025467e-02
   5.3618260e+00  -1.5878633e+00   1.0336472e-01
   5.8138020e+00  -1.5393605e+00   1.1101603e-01
   6.2657781e+00  -1.4868952e+00   1.2077568e-01
   6.5919850e+00  -1.4459931e+00   1.2972394e-01
   6.9181920e+00  -1.4017380e+00   1.4117046e-01
   7.1638877e+00  -1.3656636e+00   1.5212911e-01
   7.4095834e+00  -1.3264996e+00   1.6613536e-01
   7.5876199e+00  -1.2957412e+00   1.7900089e-01
   7.7656564e+00  -1.2623687e+00   1.9529713e-01
   7.9006012e+00  -1.2349333e+00   2.1084295e-01
   8.0355459e+00  -1.2051121e+00   2.3042779e-01
   8.1398683e+00  -1.1800543e+00   2.4938523e-01
   8.2441906e+00  -1.1527549e+00   2.7314086e-01
   8.3264900e+00  -1.1292858e+00   2.9648670e-01
   8.4087894e+00  -1.1036461e+00   3.2558902e-01
   8.4758650e+00  -1.0807890e+00   3.5503965e-01
   8.5429407e+00  -1.0557029e+00   3.9168651e-01
   8.5976063e+00  -1.0332504e+00   4.2864675e-01
   8.6522720e+00  -1.0085251e+00   4.7440800e-01
   8.6975098e+00  -9.8598156e-01   5.2090030e-01
   8.7427475e+00  -9.6107628e-01   5.7827142e-01
   8.7879853e+00  -9.3322739e-01   6.5028971e-01
   8.8228961e+00  -9.0929565e-01   7.1879024e-01
   8.8578069e+00  -8.8269213e-01   8.0265219e-01
   8.8868628e+00  -8.5810185e-01   8.8759268e-01
   8.9159187e+00  -8.3076846e-01   9.9068174e-01
   8.9449746e+00  -8.0008095e-01   1.1173779e+00
   8.9686875e+00  -7.7205140e-01   1.2431793e+00
   8.9924005e+00  -7.4071319e-01   1.3953741e+00
   9.0161134e+00  -7.0534531e-01   1.5815357e+00
   9.0398264e+00  -6.6501459e-01   1.8119925e+00
   9.0669727e+00  -6.1129175e-01   2.1479194e+00
   9.0941189e+00  -5.4713947e-01   2.5896657e+00
   9.1212652e+00  -4.6905746e-01   3.1817657e+00
